id,float_id,latitude,longitude,depth,temperature,salinity,month,year,date
1,5906475,0.3082,-59.2816,769,9.21,37.73,9,2024,2024-09-22
2,5906483,35.1312,-20.7601,80,12.69,35.3,2,2025,2025-02-26
3,5906478,12.7135,45.9835,42,20.37,35.99,1,2024,2024-01-14
4,5906471,37.8319,-110.235,1809,2.0,35.47,1,2025,2025-01-05
5,5906472,3.4088,-149.3675,1800,6.41,37.23,12,2024,2024-12-30
6,5906471,23.4897,-11.8138,105,23.64,37.01,9,2024,2024-09-22
7,5906476,-1.816,-136.9,24,29.48,35.12,4,2024,2024-04-04
8,5906480,-37.9259,141.6538,14,14.38,34.36,1,2024,2024-01-10
9,5906487,53.308,-57.1076,1397,2.0,35.36,3,2024,2024-03-25
10,5906478,-16.0276,48.0032,406,9.32,36.16,3,2024,2024-03-11
11,5906476,-24.1721,97.3596,41,25.26,34.54,2,2024,2024-02-21
12,5906485,-3.3183,-160.018,65,25.1,35.45,3,2024,2024-03-09
13,5906489,41.8151,44.4563,26,11.69,34.34,4,2024,2024-04-01
14,5906471,36.5918,19.6733,373,9.4,38.12,1,2025,2025-01-15
15,5906482,35.3155,-52.2553,79,6.9,36.55,8,2024,2024-08-14
16,5906488,-20.6019,77.8061,557,5.2,35.33,9,2024,2024-09-12
17,5906483,9.1416,111.4982,98,18.88,35.24,8,2024,2024-08-05
18,5906482,-8.3812,99.0669,166,11.38,35.26,2,2024,2024-02-01
19,5906476,35.6964,1.231,21,17.51,37.2,10,2024,2024-10-28
20,5906482,39.6047,-56.0139,361,-2.0,34.98,2,2024,2024-02-09
21,5906472,-51.3912,107.2529,129,1.05,34.45,10,2024,2024-10-22
22,5906484,-40.9597,114.7143,24,10.33,34.45,3,2024,2024-03-12
23,5906477,38.3284,32.4625,143,12.67,38.46,4,2024,2024-04-03
24,5906489,25.9094,102.6021,129,17.49,34.43,5,2024,2024-05-22
25,5906485,32.1283,3.9851,203,4.99,39.07,10,2024,2024-10-02
26,5906481,79.1941,-104.6366,1735,2.0,35.29,3,2024,2024-03-27
27,5906481,21.0663,2.2282,36,10.94,33.91,1,2025,2025-01-05
28,5906471,4.4278,-30.9615,1091,5.83,36.8,9,2024,2024-09-11
29,5906482,-7.6271,40.9329,257,12.81,36.08,7,2024,2024-07-09
30,5906476,37.9963,-38.5766,1698,2.0,37.54,1,2025,2025-01-09
31,5906481,49.3682,118.8182,38,11.2,34.76,8,2024,2024-08-16
32,5906485,-0.4757,-46.4142,19,25.42,36.32,5,2024,2024-05-21
33,5906478,39.3252,-16.922,18,13.19,34.85,12,2024,2024-12-08
34,5906483,58.4545,-40.6785,473,-2.0,35.7,3,2025,2025-03-24
35,5906474,14.2811,-55.7418,475,11.47,37.16,5,2024,2024-05-23
36,5906474,-29.6557,74.8021,16,24.44,35.54,9,2024,2024-09-29
37,5906475,71.8027,172.4313,468,-2.0,33.37,1,2024,2024-01-21
