id,float_id,latitude,longitude,depth,temperature,salinity,month,year,date
1,5906480,11.6917,-34.2278,1572,3.97,37.88,4,2024,2024-04-24
2,5906489,70.4532,-106.4367,132,-2.0,32.67,3,2024,2024-03-18
3,5906481,5.2334,-102.0657,123,20.27,34.53,7,2024,2024-07-31
4,5906473,71.7913,-41.2876,100,-2.0,31.44,5,2024,2024-05-19
5,5906471,66.8698,-53.239,730,-2.0,31.88,4,2024,2024-04-12
6,5906474,-16.9543,83.1094,43,20.67,35.93,4,2024,2024-04-20
7,5906486,8.9923,-177.8526,147,18.22,34.68,10,2024,2024-10-29
8,5906477,47.8984,116.9142,95,7.29,33.96,1,2024,2024-01-25
9,5906480,33.9371,22.467,49,22.14,37.29,2,2025,2025-02-02
10,5906475,-7.2187,-53.4702,1911,6.28,38.7,3,2025,2025-03-15
11,5906489,12.9077,53.2982,491,4.54,36.0,3,2025,2025-03-23
12,5906487,76.0624,-49.4534,449,-2.0,30.83,5,2024,2024-05-19
13,5906488,0.3175,-96.6614,131,19.9,34.21,2,2024,2024-02-17
14,5906475,-48.5913,18.4043,33,10.29,34.16,9,2024,2024-09-01
15,5906484,-5.1931,-21.0738,284,14.0,37.26,7,2024,2024-07-23
16,5906489,42.1147,22.1259,33,21.57,37.66,11,2024,2024-11-22
17,5906478,-28.4501,66.6467,151,14.64,34.69,3,2025,2025-03-21
18,5906487,59.9645,43.286,302,0.9,34.85,6,2024,2024-06-23
19,5906489,-7.9,-44.8372,16,25.89,36.48,2,2024,2024-02-12
20,5906479,9.4361,-85.7761,1928,3.66,37.29,12,2024,2024-12-25
21,5906475,41.9896,36.1024,373,9.43,37.88,1,2025,2025-01-18
22,5906489,-0.2929,-103.2661,649,10.92,35.84,2,2025,2025-02-19
23,5906479,5.5857,-150.7716,142,20.0,34.43,3,2024,2024-03-04
24,5906478,77.8522,-109.1398,31,-2.0,31.58,12,2024,2024-12-20
25,5906479,-18.1366,84.7687,530,6.29,35.57,10,2024,2024-10-20
26,5906477,35.234,22.9862,70,19.33,37.72,12,2024,2024-12-25
27,5906477,31.5059,5.023,789,2.0,39.71,3,2024,2024-03-31
28,5906482,13.4086,47.2407,31,21.57,36.01,12,2024,2024-12-03
29,5906473,24.1174,0.1745,1087,2.0,35.29,3,2025,2025-03-08
30,5906487,2.7472,-170.9256,101,25.44,34.54,7,2024,2024-07-02
31,5906478,15.9138,-38.3468,1689,2.0,37.63,1,2025,2025-01-25
32,5906486,13.301,-10.0616,1646,6.46,38.62,6,2024,2024-06-15
33,5906482,35.6277,-64.1791,98,5.91,34.47,3,2025,2025-03-21
34,5906474,57.2451,9.8544,751,-2.0,34.96,4,2024,2024-04-10
35,5906487,45.0423,-41.8354,55,9.75,36.23,2,2024,2024-02-04
36,5906482,-7.4548,-119.5493,26,27.09,35.1,12,2024,2024-12-27
37,5906480,37.7261,34.4942,342,10.36,38.95,3,2025,2025-03-03
38,5906489,54.1702,95.1935,21,21.08,33.59,7,2024,2024-07-25
39,5906489,36.0064,-39.2457,1145,2.0,36.97,11,2024,2024-11-17
40,5906487,-9.3352,-55.0962,1577,2.3,37.5,3,2024,2024-03-08
41,5906488,12.8405,109.1104,85,18.85,34.92,1,2025,2025-01-27
42,5906488,-51.6071,124.6458,1697,2.0,36.3,9,2024,2024-09-26
43,5906470,9.3382,-93.8451,11,28.2,35.16,10,2024,2024-10-04
44,5906473,-5.7882,59.3633,38,21.98,35.57,6,2024,2024-06-30
45,5906476,-20.9446,78.1813,59,24.86,35.58,2,2025,2025-02-19
46,5906487,43.5416,115.753,115,4.28,34.21,12,2024,2024-12-24
47,5906474,75.3106,170.1695,57,-0.19,31.99,9,2024,2024-09-13
48,5906486,-57.0689,-57.4687,192,-2.0,34.42,2,2024,2024-02-14
49,5906483,-9.7474,-142.8765,41,26.21,34.78,8,2024,2024-08-13
50,5906488,-29.1719,83.1987,148,17.45,34.96,8,2024,2024-08-18
51,5906471,-7.5674,-168.3813,143,20.15,34.64,11,2024,2024-11-30
52,5906477,-39.569,-42.0878,158,2.19,34.66,9,2024,2024-09-05
53,5906477,-8.6787,87.5123,151,12.46,35.18,9,2024,2024-09-21
54,5906477,-3.6725,-104.9566,1624,7.09,36.53,11,2024,2024-11-12
55,5906477,30.6049,13.9263,23,19.46,37.07,12,2024,2024-12-02
56,5906480,32.1426,-30.2643,483,1.91,35.87,7,2024,2024-07-17
57,5906486,-32.7276,159.1767,27,12.85,34.08,1,2024,2024-01-05
58,5906476,-8.4934,-44.3769,1781,4.82,37.35,7,2024,2024-07-24
59,5906470,19.8997,-17.6333,301,14.01,36.18,7,2024,2024-07-17
60,5906470,26.1994,20.2568,30,23.45,33.69,8,2024,2024-08-12
61,5906479,20.7604,-42.3038,62,25.45,35.64,7,2024,2024-07-14
62,5906473,39.3105,-24.3853,230,9.85,35.17,4,2024,2024-04-20
63,5906476,53.6874,-47.6641,38,12.36,35.68,4,2024,2024-04-24
64,5906470,68.5534,-131.273,19,1.76,33.51,3,2025,2025-03-31
65,5906479,-26.7074,99.9813,983,2.71,36.41,1,2025,2025-01-16
66,5906477,-9.6785,-40.3178,56,26.41,36.44,1,2025,2025-01-04
67,5906474,-10.1749,60.141,126,17.49,34.8,9,2024,2024-09-22
68,5906488,-6.2008,-39.4214,54,26.03,35.92,8,2024,2024-08-08
69,5906486,30.7576,2.1037,15,11.04,33.66,10,2024,2024-10-21
70,5906472,31.7171,12.5067,15,21.07,37.5,2,2024,2024-02-03
71,5906472,37.5762,5.785,455,10.2,38.24,9,2024,2024-09-05
72,5906477,56.1029,55.0122,1423,2.0,35.17,11,2024,2024-11-17
73,5906473,-8.7929,-53.2866,112,18.96,36.65,2,2024,2024-02-03
74,5906480,-32.7517,-130.9693,753,-2.0,35.41,5,2024,2024-05-08
75,5906481,44.9561,-18.3665,37,19.78,36.52,3,2025,2025-03-03
76,5906486,36.5493,-105.8588,41,16.37,34.3,2,2025,2025-02-28
77,5906476,59.2368,-15.121,16,19.09,34.65,7,2024,2024-07-15
78,5906486,23.4692,-27.9608,15,23.06,36.02,1,2025,2025-01-22
79,5906471,-5.8232,-119.3627,412,12.27,35.86,10,2024,2024-10-20
80,5906477,-44.6536,113.9195,271,-2.0,34.34,4,2024,2024-04-24
81,5906487,34.7368,-15.5542,13,14.84,35.06,12,2024,2024-12-13
82,5906480,43.1605,18.8123,495,0.84,38.83,3,2024,2024-03-03
